Id,Pred
2016_1112_1114,0.7548392715150727
2016_1112_1122,0.9907968160650575
2016_1112_1124,0.5525778424266067
2016_1112_1138,0.9253135218885744
2016_1112_1139,0.6446466745379605
2016_1112_1143,0.5425812291749513
2016_1112_1151,0.8509312874894203
2016_1112_1153,0.635422986041479
2016_1112_1160,0.677607489883514
2016_1112_1163,0.5972127267383788
2016_1112_1167,0.9162056308412453
2016_1112_1173,0.6451860912359777
2016_1112_1181,0.5191831385775781
2016_1112_1192,0.9958725344202274
2016_1112_1195,0.9861192957650886
2016_1112_1201,0.8579525609070113
2016_1112_1211,0.5872666639844637
2016_1112_1214,0.9903991352348586
2016_1112_1218,0.7931579732901642
2016_1112_1221,0.9972443977198716
2016_1112_1231,0.5056800332939394
2016_1112_1233,0.8527762356476581
2016_1112_1234,0.5522425439357224
2016_1112_1235,0.5390683230515371
2016_1112_1242,0.4177695605448149
2016_1112_1246,0.46521792054598415
2016_1112_1268,0.5225882751184778
2016_1112_1274,0.48060855262687185
2016_1112_1276,0.6854260567729451
2016_1112_1277,0.4350153204031012
2016_1112_1292,0.9060229767969312
2016_1112_1314,0.43101664654591354
2016_1112_1320,0.8143314018689968
2016_1112_1323,0.6089441372944501
2016_1112_1328,0.4561865752867572
2016_1112_1332,0.46544951900805354
2016_1112_1333,0.7056988842984052
2016_1112_1338,0.6524874623249738
2016_1112_1344,0.654059166887025
2016_1112_1345,0.471505964845443
2016_1112_1355,0.8061479623001755
2016_1112_1371,0.5568860585629278
2016_1112_1372,0.7220222333274983
2016_1112_1380,0.9936268039509772
2016_1112_1386,0.6136215248515204
2016_1112_1392,0.850070864592959
2016_1112_1393,0.685998797771731
2016_1112_1396,0.7988154226056693
2016_1112_1400,0.5878790250925489
2016_1112_1401,0.5065089729158593
2016_1112_1403,0.656246160927508
2016_1112_1409,0.7590429488794095
2016_1112_1421,0.9432019368360635
2016_1112_1423,0.8051111057597218
2016_1112_1425,0.6808091138948832
2016_1112_1428,0.5210767237226825
2016_1112_1433,0.6322990536483464
2016_1112_1435,0.6313948567771145
2016_1112_1437,0.44075999440566954
2016_1112_1438,0.4313508559021608
2016_1112_1451,0.9461473360167477
2016_1112_1452,0.4567702667541472
2016_1112_1453,0.920161846915857
2016_1112_1455,0.5939364686486702
2016_1112_1458,0.6284359845581793
2016_1112_1462,0.47805937288637435
2016_1112_1463,0.6969686476486211
2016_1114_1122,0.9709302018052414
2016_1114_1124,0.27391987655440675
2016_1114_1138,0.7916235240757201
2016_1114_1139,0.35536289764310985
2016_1114_1143,0.26599310076557947
2016_1114_1151,0.6390869138498755
2016_1114_1153,0.34743522630355184
2016_1114_1160,0.3920108036376509
2016_1114_1163,0.3111402675296513
2016_1114_1167,0.770138852725475
2016_1114_1173,0.35923899284994637
2016_1114_1181,0.2480569227275144
2016_1114_1192,0.9868780623771257
2016_1114_1195,0.956520451033673
2016_1114_1201,0.6489876355682113
2016_1114_1211,0.30261086088321365
2016_1114_1214,0.9697015746178844
2016_1114_1218,0.5399387633146461
2016_1114_1221,0.9912373906234285
2016_1114_1231,0.2381067854735818
2016_1114_1233,0.6427436732878667
2016_1114_1234,0.27365098580369535
2016_1114_1235,0.26324168684070975
2016_1114_1242,0.1795868434948267
2016_1114_1246,0.2099355700334696
2016_1114_1268,0.25061301569528627
2016_1114_1274,0.2203743063177906
2016_1114_1276,0.40043417706191226
2016_1114_1277,0.19032601536480814
2016_1114_1292,0.7470424741771956
2016_1114_1314,0.1878086735288454
2016_1114_1320,0.5733474219946544
2016_1114_1323,0.32135024504262183
2016_1114_1328,0.20395610801274144
2016_1114_1332,0.21009244621039586
2016_1114_1333,0.4233010680790013
2016_1114_1338,0.36631992748736325
2016_1114_1344,0.36786880327285026
2016_1114_1345,0.2141610562105065
2016_1114_1355,0.5601716180070705
2016_1114_1371,0.2773876964327802
2016_1114_1372,0.4428169647941219
2016_1114_1380,0.9797847561537694
2016_1114_1386,0.3290749071403328
2016_1114_1392,0.6373498403152961
2016_1114_1393,0.401068454060309
2016_1114_1396,0.5486277154266351
2016_1114_1400,0.30313137343360863
2016_1114_1401,0.2387094599732624
2016_1114_1403,0.3700356947230138
2016_1114_1409,0.4907788912500519
2016_1114_1421,0.836093010777494
2016_1114_1423,0.5584976353503589
2016_1114_1425,0.39543010272379703
2016_1114_1428,0.24948135206041824
2016_1114_1433,0.34477869690753765
2016_1114_1435,0.34401490124016887
2016_1114_1437,0.19397382770425856
2016_1114_1438,0.1880187408810245
2016_1114_1451,0.843732742072925
2016_1114_1452,0.2043388162684143
2016_1114_1453,0.7793685117522939
2016_1114_1455,0.3083298530194963
2016_1114_1458,0.34149266568263886
2016_1114_1462,0.21862348197687953
2016_1114_1463,0.413272011336355
2016_1122_1124,0.008453938831347948
2016_1122_1138,0.07836801743688607
2016_1122_1139,0.012215670579159496
2016_1122_1143,0.00812279008410792
2016_1122_1151,0.038804602484122715
2016_1122_1153,0.011777666737196353
2016_1122_1160,0.014363759151426809
2016_1122_1163,0.010112247582982806
2016_1122_1167,0.06971858670670103
2016_1122_1173,0.012434491298207114
2016_1122_1181,0.007397849545772932
2016_1122_1192,0.6358006265482927
2016_1122_1195,0.33526681623590393
2016_1122_1201,0.04100696150169905
2016_1122_1211,0.009716800447164275
2016_1122_1214,0.4210792680178414
2016_1122_1218,0.026140490166480318
2016_1122_1221,0.7230274566767516
2016_1122_1231,0.007010560762198156
2016_1122_1233,0.039349425952709634
2016_1122_1234,0.008442512948209427
2016_1122_1235,0.008008981911629614
2016_1122_1242,0.004921235863419212
2016_1122_1246,0.0059664747540817895
2016_1122_1268,0.007499143849495629
2016_1122_1274,0.006344662278327601
2016_1122_1276,0.014887998596003484
2016_1122_1277,0.005282163110183768
2016_1122_1292,0.06196961905074798
2016_1122_1314,0.005196727942465503
2016_1122_1320,0.029875823671677022
2016_1122_1323,0.010598690764287964
2016_1122_1328,0.005754285467694638
2016_1122_1332,0.005972350976045438
2016_1122_1333,0.01638154501476107
2016_1122_1338,0.012835284446638645
2016_1122_1344,0.012924662235930598
2016_1122_1345,0.006118302967007864
2016_1122_1355,0.028359056065035772
2016_1122_1371,0.008601539777396066
2016_1122_1372,0.01774428667470672
2016_1122_1380,0.5249734885306256
2016_1122_1386,0.010799628072630406
2016_1122_1392,0.038525227189152765
2016_1122_1393,0.014929768059832439
2016_1122_1396,0.02706714419009879
2016_1122_1400,0.009740544258357976
2016_1122_1401,0.007033761594846134
2016_1122_1403,0.013050062949276159
2016_1122_1409,0.02149570163683921
2016_1122_1421,0.10249883749023865
2016_1122_1423,0.02815954614335243
2016_1122_1425,0.014574158514021248
2016_1122_1428,0.007454911708603433
2016_1122_1433,0.011634424389428605
2016_1122_1435,0.011593848196450514
2016_1122_1437,0.00540701523784292
2016_1122_1438,0.00520387718165697
2016_1122_1451,0.10787019575738031
2016_1122_1452,0.005767695435400272
